epoch,phase,total,depth_gt,depth_teacher,obj,bbox,kpt,light,height,lr
29,2,19.023839263916017,19.023839263916017,0.0,0.0,0.0,0.0,0.0,0.0,0.0006881876928489808
30,2,23.918246231079102,18.226393661499024,0.0,0.4428714382648468,1.1506225204467773,0.22630511105060577,0.5413527697324753,2.4254804039001465,0.0008208853734520051
31,2,21.122024688720703,17.879396514892576,0.0,0.2297318571805954,1.0557351684570313,0.21141546726226806,0.33772988557815553,0.5623538488149643,0.0008919195982946495
32,2,20.55983238220215,17.573881454467774,0.0,0.23470810651779175,1.0119795680046082,0.2017315608263016,0.3245656219124794,0.4060393899679184,0.0008978872319728567
33,2,20.05185012817383,17.16596908569336,0.0,0.23637290120124818,0.9819630146026611,0.18694407761096954,0.29030834391713145,0.44251655161380765,0.0008829125205639298
34,2,19.513266143798827,16.65900218963623,0.0,0.2344370973110199,0.930122926235199,0.1775762051343918,0.2674052971601486,0.5344178593158722,0.0008540237023959507
35,2,18.851837768554688,16.291678733825684,0.0,0.2266247761249542,0.9463368916511535,0.17048735558986663,0.23136972278356552,0.3033914041519165,0.0008121492878546372
36,2,18.403517723083496,15.959711303710938,0.0,0.21599003851413726,0.9192024326324463,0.1624035456776619,0.19550149977207185,0.3010946559906006,0.0007586351550777301
37,2,18.094399604797363,15.748725509643554,0.0,0.21117157995700836,0.9185640239715576,0.15718087553977966,0.15434543922543525,0.2756889224052429,0.0006952012923242544
38,2,17.754452171325685,15.540825157165527,0.0,0.20694345712661744,0.8721469283103943,0.14669753938913346,0.12415411278605461,0.2768943589925766,0.0006238865161366627
39,2,17.285964965820312,15.233706512451171,0.0,0.19860615730285644,0.8545417642593384,0.13595730870962142,0.11889114737510681,0.20043218076229097,0.0005469829420996178
40,2,16.93810359954834,14.970192260742188,0.0,0.1959538382291794,0.840430223941803,0.12939731001853944,0.09869232162833214,0.18584825992584228,0.00046696231435914176
41,2,16.619717178344725,14.71310188293457,0.0,0.19297789812088012,0.8283641386032105,0.12231086283922195,0.07967273578047752,0.19404632866382598,0.000386396561732005
42,2,16.37844482421875,14.553182106018067,0.0,0.187504603266716,0.813005485534668,0.12007572501897812,0.0761494754254818,0.1482245934009552,0.000307875133797366
43,2,16.111211013793945,14.370985374450683,0.0,0.18122998535633086,0.786572995185852,0.11458877056837082,0.0650765909999609,0.1344021713733673,0.00023392177385669026
44,2,15.897773170471192,14.20864429473877,0.0,0.1784978675842285,0.7671450853347779,0.11088132143020629,0.06450615253299474,0.12457317650318146,0.0001669134037474983
45,2,15.74227813720703,14.109710464477539,0.0,0.17394502103328705,0.7431492471694946,0.10507877200841903,0.06104582823812962,0.12903409957885742,0.0001090037276197697
46,2,15.599368209838866,14.004316444396972,0.0,0.17300283282995224,0.7286204481124878,0.10421483516693116,0.06623145423829556,0.1061229145526886,6.205401011249042e-05
47,2,15.611062736511231,13.994360389709472,0.0,0.17785272538661956,0.7412025308609009,0.10558759659528733,0.06491866864264012,0.10479054629802703,2.7573253776700445e-05
48,2,15.507283554077148,13.954413681030273,0.0,0.17265364587306975,0.712813048362732,0.10124478310346603,0.0652796133607626,0.09589942157268525,6.669698491892878e-06
