epoch,loss_total,depth_teacher,obj,bbox,bbox_l1,bbox_ciou,iou,kpt,light,height,lr,det_active
15,4.780155754089355,2.698780879974365,0.11843270570039749,0.8739427042007446,0.12227386057376861,0.7516688442230225,0.3004648768901825,0.11415906071662903,0.11698318533599376,0.40122097194194795,0.0029934690785684316,1
16,4.500613288879395,2.47186393737793,0.12034772232174873,0.8528097820281982,0.11705554574728012,0.7357542371749878,0.3159739452600479,0.10636570930480957,0.08251503083854914,0.4412481951713562,0.0029749233387051446,1
17,4.249051465988159,2.3148277235031127,0.11679054737091064,0.8593386149406433,0.11471843123435974,0.7446201825141907,0.3047534984350204,0.10329497337341309,0.08598779566586018,0.355631919503212,0.0029445024316679547,1
18,4.043797903060913,2.1835041284561156,0.1001866376399994,0.8146299886703491,0.108047094643116,0.7065828943252563,0.3402833616733551,0.09058801025152206,0.08325819432735443,0.409278923869133,0.002902451288713122,1
19,3.7115908527374266,2.0119105100631716,0.08078917235136032,0.8107618284225464,0.10697891250252724,0.703782913684845,0.3413394749164581,0.08750272393226624,0.051996738575398924,0.31861901879310606,0.002849108480918047,1
20,3.6853044605255127,1.992959451675415,0.08438958808779716,0.7796959590911865,0.09943315774202346,0.6802628064155578,0.35763598561286924,0.08351330548524856,0.06952174071222544,0.34117125809192655,0.002784903493206032,1
21,3.567811231613159,1.9495858716964722,0.08133869603276253,0.785737726688385,0.09698169440031051,0.6887560319900513,0.35315818071365357,0.07880853548645973,0.049876615758985283,0.307229670882225,0.0027103532663862143,1
22,3.3406325912475587,1.7969601488113403,0.07957618564367294,0.7486205673217774,0.0869492818415165,0.6616712927818298,0.37499460101127624,0.07565630093216896,0.03709131710231304,0.30010284304618834,0.002626058035050122,1
23,3.2836780834197996,1.7495213651657104,0.06941198095679284,0.732594301700592,0.08405994817614555,0.6485343539714813,0.38395642876625063,0.0699478542804718,0.04430879473686218,0.33810235500335695,0.0025326964948356808,1
24,3.105782194137573,1.7851640892028808,0.061569259092211726,0.7204227232933045,0.07759505838155746,0.642827661037445,0.388772474527359,0.06778940171003342,0.026293150559067727,0.17338598251342774,0.0024310203379690003,1
25,2.973949098587036,1.688084478378296,0.058696957230567934,0.6920627474784851,0.07054642662405967,0.6215163242816925,0.4077209889888763,0.06160863101482392,0.022632019240409137,0.20442975282669068,0.0023218482010805585,1
26,2.9347653675079344,1.6609066677093507,0.05226099655032158,0.6855996775627137,0.0726546373963356,0.6129450333118439,0.41456072092056273,0.05769661888480186,0.024108114195987584,0.2234068065881729,0.0022060590740244058,1
27,2.74300705909729,1.5797524499893187,0.048142410963773724,0.6436580336093902,0.06559874951839446,0.5780592858791351,0.4464046216011047,0.05510237216949463,0.014496147464960814,0.1814461523294449,0.0020845852227686927,1
28,2.6626766109466553,1.4928554487228394,0.035686597898602485,0.6413043355941772,0.06181593149900436,0.5794884049892426,0.44205995559692385,0.05424011260271072,0.013349625561386348,0.20828001379966735,0.0019584046833382622,1
29,2.5172961521148682,1.4535651731491088,0.041758969500660895,0.5944056487083436,0.05391599476337433,0.5404896593093872,0.4787886166572571,0.04944428071379661,0.014447468873113394,0.16589746356010437,0.0018285333872436532,1
30,2.568433961868286,1.4785853481292726,0.03371426619589329,0.6303915691375732,0.05685247376561165,0.5735390949249267,0.45217576146125793,0.04982078731060028,0.011004469911567867,0.16563436150550842,0.0016960169817979342,1
31,2.499512996673584,1.4179751873016357,0.03181909866631031,0.6271050977706909,0.056358434557914734,0.5707466673851013,0.4542130714654922,0.04986435681581497,0.013006808636710047,0.16028498888015746,0.0015619224111793689,1
